asv_id	Kingdom	Phylum	Class	Order	Family	Genus
ASV_44652	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrosotaleales	f__Nitrosotaleaceae	g__Candidatus_Nitrosotalea
ASV_45054	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_45119	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Group_1.1c	f__NA	g__NA
ASV_45138	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_45181	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Marine_Benthic_Group_D_and_DHVEG-1	f__NA	g__NA
ASV_45279	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_45291	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_45353	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_45397	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_45555	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__NA	g__NA
ASV_45573	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_45614	k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__NA	f__NA	g__NA
ASV_45636	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_45816	k__Archaea	p__Crenarchaeota	c__NA	o__NA	f__NA	g__NA
ASV_45817	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_45927	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_46210	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Group_1.1c	f__NA	g__NA
ASV_46464	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_46485	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_46688	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_46848	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_46869	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter
ASV_47444	k__Archaea	p__Euryarchaeota	c__Thermococci	o__Methanofastidiosales	f__NA	g__NA
ASV_47511	k__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__NA	g__NA
ASV_47966	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Group_1.1c	f__NA	g__NA
ASV_48058	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_48063	k__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__NA	g__NA
ASV_48114	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_48312	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_48409	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_48498	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_48506	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrosotaleales	f__Nitrosotaleaceae	g__NA
ASV_48569	k__Archaea	p__Halobacterota	c__Methanosarcinia	o__Methanosarciniales	f__Methanosarcinaceae	g__Methanosarcina
ASV_48684	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_48685	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_48703	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_48781	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__NA	g__NA
ASV_48860	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_48876	k__Archaea	p__Thermoplasmatota	c__Thermoplasmatota_cl	o__Thermoplasmatota_or	f__Thermoplasmatota_fa	g__NA
ASV_49087	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrosotaleales	f__Nitrosotaleaceae	g__NA
ASV_49269	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_49786	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Marine_Benthic_Group_D_and_DHVEG-1	f__NA	g__NA
ASV_49788	k__Archaea	p__Crenarchaeota	c__Bathyarchaeia	o__NA	f__NA	g__NA
ASV_49834	k__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__NA	g__NA
ASV_49928	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_50394	k__Archaea	p__Crenarchaeota	c__Bathyarchaeia	o__NA	f__NA	g__NA
ASV_50646	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_50710	k__Archaea	p__Thermoplasmatota	c__Thermoplasmatota_cl	o__Thermoplasmatota_or	f__Thermoplasmatota_fa	g__NA
ASV_50847	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_51512	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_51668	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Marine_Benthic_Group_D_and_DHVEG-1	f__NA	g__NA
ASV_52301	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Marine_Benthic_Group_D_and_DHVEG-1	f__NA	g__NA
ASV_52943	k__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__NA	g__NA
ASV_53255	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_53266	k__Archaea	p__Thermoplasmatota	c__Thermoplasmatota_cl	o__Thermoplasmatota_or	f__Thermoplasmatota_fa	g__NA
ASV_53397	k__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__NA	g__NA
ASV_53562	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Group_1.1c	f__NA	g__NA
ASV_53601	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Marine_Benthic_Group_D_and_DHVEG-1	f__NA	g__NA
ASV_53602	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmata_or	f__Thermoplasmata_fa	g__Marine_Group_III
ASV_53710	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_53965	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrosotaleales	f__Nitrosotaleaceae	g__Candidatus_Nitrosotalea
ASV_53975	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_54025	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
